type_id,lowest,average,highest,volume
18,,,,
19,,,,
20,893.0,893.0,893.0,10060.0
21,,,,
22,11840.0,11840.0,11840.0,36.0
34,3.52,3.911666666666667,3.99,1190438478.0
35,8.8,8.966666666666667,9.0,578903882.0
36,41.34,51.163333333333334,59.6,207086770.0
37,435.1,486.8,505.1,23763068.0
38,1173.0,1190.8333333333333,1212.0,5241040.0
39,1816.0,1964.1666666666667,2000.0,2010654.0
40,4717.0,5185.5,5296.0,5249357.0
41,,,,
42,,,,
43,,,,
44,4570.0,13266.666666666666,19230.0,77429.0
45,,,,
178,,,,
179,30.0,30.0,30.0,1500.0
180,25.0,25.0,25.0,8401.0
181,,,,
182,15.0,15.0,15.0,25500.0
183,39.99,39.99,39.99,10000.0
184,,,,
185,46.0,46.0,46.0,574098.0
186,12.0,12.0,12.0,5000.0
187,,,,
188,40.0,40.0,40.0,2500.0
189,,,,
190,80.0,80.0,80.0,15000.0
191,,,,
192,,,,
193,169.9,169.9,169.9,1000.0
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,469.9,469.9,469.9,100.0
200,,,,
201,,,,
202,44.01,197.60399999999998,300.0,11300.0
203,44.03,231.65499999999997,299.0,99410.0
204,44.01,123.5025,190.0,50045.0
205,44.1,66.44000000000001,100.0,10520.0
206,3.19,35.714,85.0,2600.0
207,1.03,18.822,89.99,3100.0
208,0.01,16.808,84.0,1000.0
209,99.0,99.0,119.45,383826.0
210,0.15,42.660000000000004,99.0,70583.0
211,1.0,12.4,20.0,10402.0
212,0.55,17.401666666666667,34.88,21500.0
213,1.0,1.0,1.0,740.0
215,0.1,0.10000000000000002,0.1,800.0
216,0.1,0.10000000000000002,0.1,500.0
217,0.1,9.174999999999999,18.25,24400.0
218,0.1,5.675,11.25,5636.0
219,1.1,1.1,1.1,800.0
220,1.08,1.08,1.08,900.0
221,1.1,1.1,1.1,400.0
222,2.09,2.09,2.09,400.0
223,1.1,1.1,1.1,1000.0
224,1.09,1.09,1.09,700.0
225,1.08,11.81,44.0,1400.0
226,2.08,2.08,2.08,600.0
227,1.08,1.08,1.08,500.0
228,2.1,2.1,2.1,900.0
229,1.07,1.0750000000000002,1.08,1000.0
230,2.09,52.205000000000005,88.0,24140.0
231,1.1,1.1,1.1,1000.0
232,2.1,2.1,2.1,600.0
233,3.03,3.03,3.03,800.0
234,3.1,3.1,3.1,1300.0
235,3.06,18.448,80.0,3700.0
236,22.06,22.06,22.06,600.0
237,3.08,3.08,3.08,1000.0
238,29.96,97.22,299.0,31010.0
239,,,,
240,,,,
241,,,,
242,4789.0,4789.666666666667,4790.0,64.0
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,500000.0,500000.0,500000.0,170.0
255,195000.0,195000.0,195000.0,8.0
256,,,,
257,449500.0,449500.0,449500.0,8.0
258,51590.0,100795.0,150000.0,9.0
259,,,,
260,,,,
261,,,,
262,,,,
263,599.9,599.9,599.9,100.0
264,3000.0,3000.0,3000.0,70.0
266,0.01,2.5075,10.0,1349.0
267,24.29,309.3275,594.3,64917.0
269,,,,
377,75000.0,94627.96333333333,100000.0,38.0
380,356900.0,367156.87999999995,369500.0,183.0
393,,,,
394,374900.0,376319.9466666667,376600.0,31.0
399,60010.0,60010.0,60010.0,2.0
400,567400.0,571110.1849999999,583800.0,20.0
405,,,,
421,,,,
434,291700.0,294047.87,298300.0,59.0
438,2299000.0,2396194.223333333,2590000.0,105.0
439,16980.0,37816.0,72900.0,14.0
440,1621000.0,3569361.971666666,3600000.0,104.0
442,82840.0,82851.25,82870.0,28.0
443,,,,
444,,,,
447,199600.0,199603.08666666667,199700.0,37.0
448,2169000.0,2453166.6666666665,2954000.0,751.0
