type_id,vale_max_buy,vale_min_sell,vale_available,jita_max_buy,jita_min_sell,jita_available
18,,,,31.15,32.01,30251246.0
19,,,,10120.0,12000.0,16.0
20,800.0,,,840.1,899.9,13429205.0
21,,,,1074.0,1200.0,41613.0
22,,11850.0,953.0,5283.0,5200.0,32150.0
34,3.55,4.39,222.0,4.22,4.13,10127737336.0
35,5.17,10.0,717846549.0,10.19,9.33,10408692324.0
36,42.02,57.0,163366534.0,53.97,43.02,3980258116.0
37,432.0,494.5,34299385.0,450.4,466.8,246759387.0
38,1176.0,1499.0,638202.0,1100.0,1053.0,91772567.0
39,1003.0,1800.0,2761800.0,1941.0,1926.0,58784193.0
40,4901.0,5358.0,910899.0,5000.0,5347.0,39621164.0
41,,,,27.91,16.79,1989690.0
42,,,,1705.58,7499.0,256838.0
43,,,,349.19,221.4,1473826.0
44,10970.0,18400.0,57218.0,10750.0,11010.0,3072611.0
45,,,,22.7,22.65,3890.0
178,,,,4.54,4.39,11143293.0
179,,30.0,614462.0,7.41,7.0,4625903.0
180,,25.0,45876.0,11.33,10.0,2819581.0
181,,,,15.0,17.0,13847779.0
182,,,,13.93,10.42,9713136.0
183,,39.99,70136.0,34.0,45.0,2666772.0
184,,,,40.19,22.11,8308964.0
185,,46.0,385272.0,30.73,5.32,6990557.0
186,,12.0,1125652.0,17.23,20.81,5661725.0
187,,,,15.31,18.97,3689385.0
188,,40.0,126000.0,15.02,15.03,582102.0
189,,,,26.01,44.69,1972418.0
190,,80.0,312900.0,32.02,39.0,1003040.0
191,,,,61.0,60.0,3492131.0
192,,220.0,7900.0,114.0,122.5,2631139.0
193,,169.9,7172.0,100.0,118.0,4841356.0
194,,,,11.71,17.6,4197768.0
195,,,,16.98,31.32,1199602.0
196,,,,27.51,34.3,2490436.0
197,,109.0,185125.0,17.39,41.92,2937387.0
198,,,,85.32,95.98,1532104.0
199,,469.9,3799.0,132.1,137.4,6677971.0
200,,332.0,240795.0,262.8,225.0,2916509.0
201,,500.0,28280.0,351.1,371.1,2021603.0
202,44.01,300.0,432520.0,244.7,244.8,9699604.0
203,44.13,299.0,298921.0,210.0,236.0,9315006.0
204,44.01,190.0,834381.0,176.7,176.8,8737412.0
205,44.1,99.9,61811.0,193.8,150.0,3114149.0
206,3.19,85.0,338030.0,60.13,65.0,13702688.0
207,1.03,,,87.01,96.44,28601139.0
208,0.01,84.0,41090.0,78.56,81.0,11367096.0
209,69.1,99.0,1060359.0,66.03,73.99,27274223.0
210,0.15,,,11.29,12.2,36446784.0
211,1.0,20.0,154760.0,12.0,11.45,44431464.0
212,0.55,34.89,653208.0,12.49,15.0,19551652.0
213,1.0,30.0,30.0,9.3,9.0,14431114.0
215,0.1,,,4.9,5.1,16613701.0
