type_id,name,group,market_group,race,category,meta_group
18,Plagioclase,Plagioclase,Plagioclase,,Asteroid,
19,Spodumain,Spodumain,Spodumain,Amarr,Asteroid,
20,Kernite,Kernite,Kernite,,Asteroid,
21,Hedbergite,Hedbergite,Hedbergite,Amarr,Asteroid,
22,Arkonor,Arkonor,Arkonor,Amarr,Asteroid,
34,Tritanium,Mineral,Minerals,,Material,
35,Pyerite,Mineral,Minerals,,Material,
36,Mexallon,Mineral,Minerals,,Material,
37,Isogen,Mineral,Minerals,,Material,
38,Nocxium,Mineral,Minerals,,Material,
39,Zydrine,Mineral,Minerals,,Material,
40,Megacyte,Mineral,Minerals,,Material,
41,Garbage,General,Industrial Goods,,Commodity,
42,Spiced Wine,General,Consumer Products,,Commodity,
43,Antibiotics,General,Consumer Products,,Commodity,
44,Enriched Uranium,Refined Commodities - Tier 2,Refined Planetary Materials,,Planetary Commodities,
45,Frozen Plant Seeds,Frozen,Consumer Products,,Commodity,
178,Carbonized Lead S,Projectile Ammo,Small,,Charge,Tech I
179,Nuclear S,Projectile Ammo,Small,,Charge,Tech I
180,Proton S,Projectile Ammo,Small,,Charge,Tech I
181,Depleted Uranium S,Projectile Ammo,Small,,Charge,Tech I
182,Titanium Sabot S,Projectile Ammo,Small,,Charge,Tech I
183,Fusion S,Projectile Ammo,Small,,Charge,Tech I
184,Phased Plasma S,Projectile Ammo,Small,,Charge,Tech I
185,EMP S,Projectile Ammo,Small,,Charge,Tech I
186,Carbonized Lead M,Projectile Ammo,Medium,,Charge,Tech I
187,Nuclear M,Projectile Ammo,Medium,,Charge,Tech I
188,Proton M,Projectile Ammo,Medium,,Charge,Tech I
189,Depleted Uranium M,Projectile Ammo,Medium,,Charge,Tech I
190,Titanium Sabot M,Projectile Ammo,Medium,,Charge,Tech I
191,Fusion M,Projectile Ammo,Medium,,Charge,Tech I
192,Phased Plasma M,Projectile Ammo,Medium,,Charge,Tech I
193,EMP M,Projectile Ammo,Medium,,Charge,Tech I
194,Carbonized Lead L,Projectile Ammo,Large,,Charge,Tech I
195,Nuclear L,Projectile Ammo,Large,,Charge,Tech I
196,Proton L,Projectile Ammo,Large,,Charge,Tech I
197,Depleted Uranium L,Projectile Ammo,Large,,Charge,Tech I
198,Titanium Sabot L,Projectile Ammo,Large,,Charge,Tech I
199,Fusion L,Projectile Ammo,Large,,Charge,Tech I
200,Phased Plasma L,Projectile Ammo,Large,,Charge,Tech I
201,EMP L,Projectile Ammo,Large,,Charge,Tech I
202,Mjolnir Cruise Missile,Cruise Missile,Standard Cruise Missiles,,Charge,Tech I
203,Scourge Cruise Missile,Cruise Missile,Standard Cruise Missiles,,Charge,Tech I
204,Inferno Cruise Missile,Cruise Missile,Standard Cruise Missiles,,Charge,Tech I
205,Nova Cruise Missile,Cruise Missile,Standard Cruise Missiles,,Charge,Tech I
206,Nova Heavy Missile,Heavy Missile,Standard Heavy Missiles,,Charge,Tech I
207,Mjolnir Heavy Missile,Heavy Missile,Standard Heavy Missiles,,Charge,Tech I
208,Inferno Heavy Missile,Heavy Missile,Standard Heavy Missiles,,Charge,Tech I
209,Scourge Heavy Missile,Heavy Missile,Standard Heavy Missiles,,Charge,Tech I
210,Scourge Light Missile,Light Missile,Standard Light Missiles,,Charge,Tech I
211,Inferno Light Missile,Light Missile,Standard Light Missiles,,Charge,Tech I
212,Mjolnir Light Missile,Light Missile,Standard Light Missiles,,Charge,Tech I
213,Nova Light Missile,Light Missile,Standard Light Missiles,,Charge,Tech I
215,Iron Charge S,Hybrid Charge,Small,,Charge,Tech I
216,Tungsten Charge S,Hybrid Charge,Small,,Charge,Tech I
217,Iridium Charge S,Hybrid Charge,Small,,Charge,Tech I
218,Lead Charge S,Hybrid Charge,Small,,Charge,Tech I
219,Thorium Charge S,Hybrid Charge,Small,,Charge,Tech I
220,Uranium Charge S,Hybrid Charge,Small,,Charge,Tech I
221,Plutonium Charge S,Hybrid Charge,Small,,Charge,Tech I
222,Antimatter Charge S,Hybrid Charge,Small,,Charge,Tech I
223,Iron Charge M,Hybrid Charge,Medium,,Charge,Tech I
224,Tungsten Charge M,Hybrid Charge,Medium,,Charge,Tech I
225,Iridium Charge M,Hybrid Charge,Medium,,Charge,Tech I
226,Lead Charge M,Hybrid Charge,Medium,,Charge,Tech I
227,Thorium Charge M,Hybrid Charge,Medium,,Charge,Tech I
228,Uranium Charge M,Hybrid Charge,Medium,,Charge,Tech I
229,Plutonium Charge M,Hybrid Charge,Medium,,Charge,Tech I
230,Antimatter Charge M,Hybrid Charge,Medium,,Charge,Tech I
231,Iron Charge L,Hybrid Charge,Large,,Charge,Tech I
232,Tungsten Charge L,Hybrid Charge,Large,,Charge,Tech I
233,Iridium Charge L,Hybrid Charge,Large,,Charge,Tech I
234,Lead Charge L,Hybrid Charge,Large,,Charge,Tech I
235,Thorium Charge L,Hybrid Charge,Large,,Charge,Tech I
236,Uranium Charge L,Hybrid Charge,Large,,Charge,Tech I
237,Plutonium Charge L,Hybrid Charge,Large,,Charge,Tech I
238,Antimatter Charge L,Hybrid Charge,Large,,Charge,Tech I
239,Radio S,Frequency Crystal,Small,,Charge,Tech I
240,Microwave S,Frequency Crystal,Small,,Charge,Tech I
241,Infrared S,Frequency Crystal,Small,,Charge,Tech I
242,Standard S,Frequency Crystal,Small,,Charge,Tech I
243,Ultraviolet S,Frequency Crystal,Small,,Charge,Tech I
244,Xray S,Frequency Crystal,Small,,Charge,Tech I
245,Gamma S,Frequency Crystal,Small,,Charge,Tech I
246,Multifrequency S,Frequency Crystal,Small,,Charge,Tech I
247,Radio M,Frequency Crystal,Medium,,Charge,Tech I
248,Microwave M,Frequency Crystal,Medium,,Charge,Tech I
249,Infrared M,Frequency Crystal,Medium,,Charge,Tech I
250,Standard M,Frequency Crystal,Medium,,Charge,Tech I
251,Ultraviolet M,Frequency Crystal,Medium,,Charge,Tech I
252,Xray M,Frequency Crystal,Medium,,Charge,Tech I
253,Gamma M,Frequency Crystal,Medium,,Charge,Tech I
254,Multifrequency M,Frequency Crystal,Medium,,Charge,Tech I
255,Radio L,Frequency Crystal,Large,,Charge,Tech I
256,Microwave L,Frequency Crystal,Large,,Charge,Tech I
257,Infrared L,Frequency Crystal,Large,,Charge,Tech I
258,Standard L,Frequency Crystal,Large,,Charge,Tech I
259,Ultraviolet L,Frequency Crystal,Large,,Charge,Tech I
260,Xray L,Frequency Crystal,Large,,Charge,Tech I
261,Gamma L,Frequency Crystal,Large,,Charge,Tech I
262,Multifrequency L,Frequency Crystal,Large,,Charge,Tech I
263,Cap Booster 25,Capacitor Booster Charge,Cap Booster Charges,,Charge,Tech I
264,Cap Booster 50,Capacitor Booster Charge,Cap Booster Charges,,Charge,Tech I
266,Scourge Rocket,Rocket,Standard Rockets,,Charge,Tech I
267,Scourge Torpedo,Torpedo,Standard Torpedoes,,Charge,Tech I
269,Mjolnir Auto-Targeting Light Missile I,Auto-Targeting Light Missile,Standard Auto-Targeting,Amarr,Charge,Tech I
377,Small Shield Extender I,Shield Extender,Small,,Module,Tech I
380,Small Shield Extender II,Shield Extender,Small,,Module,Tech II
393,Shield Recharger I,Shield Recharger,Shield Rechargers,,Module,Tech I
394,Shield Recharger II,Shield Recharger,Shield Rechargers,,Module,Tech II
399,Small Shield Booster I,Shield Booster,Small,,Module,Tech I
400,Small Shield Booster II,Shield Booster,Small,,Module,Tech II
405,'Micro' Remote Shield Booster,Remote Shield Booster,Small,,Module,Storyline
421,'Basic' Capacitor Recharger,Capacitor Recharger,Capacitor Rechargers,,Module,Storyline
434,5MN Microwarpdrive I,Propulsion Module,Microwarpdrives,Amarr,Module,Tech I
438,1MN Afterburner II,Propulsion Module,Afterburners,Amarr,Module,Tech II
439,1MN Afterburner I,Propulsion Module,Afterburners,Amarr,Module,Tech I
440,5MN Microwarpdrive II,Propulsion Module,Microwarpdrives,Amarr,Module,Tech II
442,Cargo Scanner I,Cargo Scanner,Cargo Scanners,,Module,Tech I
443,Ship Scanner I,Ship Scanner,Ship Scanners,,Module,Tech I
444,Survey Scanner I,Survey Scanner,Survey Scanners,,Module,Tech I
447,Warp Scrambler I,Warp Scrambler,Warp Scramblers,,Module,Tech I
448,Warp Scrambler II,Warp Scrambler,Warp Scramblers,,Module,Tech II
450,Gatling Pulse Laser I,Energy Weapon,Small,,Module,Tech I
451,Dual Light Pulse Laser I,Energy Weapon,Small,,Module,Tech I
452,Dual Light Beam Laser I,Energy Weapon,Small,,Module,Tech I
453,Small Focused Pulse Laser I,Energy Weapon,Small,,Module,Tech I
454,Small Focused Beam Laser I,Energy Weapon,Small,,Module,Tech I
455,Quad Light Beam Laser I,Energy Weapon,Medium,,Module,Tech I
456,Focused Medium Pulse Laser I,Energy Weapon,Medium,,Module,Tech I
457,Focused Medium Beam Laser I,Energy Weapon,Medium,,Module,Tech I
458,Heavy Pulse Laser I,Energy Weapon,Medium,,Module,Tech I
459,Heavy Beam Laser I,Energy Weapon,Medium,,Module,Tech I
460,Dual Heavy Pulse Laser I,Energy Weapon,Large,,Module,Tech I
461,Dual Heavy Beam Laser I,Energy Weapon,Large,,Module,Tech I
462,Mega Pulse Laser I,Energy Weapon,Large,,Module,Tech I
463,Mega Beam Laser I,Energy Weapon,Large,,Module,Tech I
464,Tachyon Beam Laser I,Energy Weapon,Large,,Module,Tech I
482,Miner II,Mining Laser,Mining Lasers,,Module,Tech II
483,Miner I,Mining Laser,Mining Lasers,,Module,Tech I
484,125mm Gatling AutoCannon I,Projectile Weapon,Small,,Module,Tech I
485,150mm Light AutoCannon I,Projectile Weapon,Small,,Module,Tech I
486,200mm AutoCannon I,Projectile Weapon,Small,,Module,Tech I
487,250mm Light Artillery Cannon I,Projectile Weapon,Small,,Module,Tech I
488,280mm Howitzer Artillery I,Projectile Weapon,Small,,Module,Tech I
489,Dual 180mm AutoCannon I,Projectile Weapon,Medium,,Module,Tech I
490,220mm Vulcan AutoCannon I,Projectile Weapon,Medium,,Module,Tech I
491,425mm AutoCannon I,Projectile Weapon,Medium,,Module,Tech I
492,650mm Artillery Cannon I,Projectile Weapon,Medium,,Module,Tech I
493,720mm Howitzer Artillery I,Projectile Weapon,Medium,,Module,Tech I
