type_id,name,group_id,race_id,market_group_id
18,Plagioclase,458,,516
19,Spodumain,461,4,517
20,Kernite,457,,523
21,Hedbergite,454,4,527
22,Arkonor,450,4,512
34,Tritanium,18,,1857
35,Pyerite,18,,1857
36,Mexallon,18,,1857
37,Isogen,18,,1857
38,Nocxium,18,,1857
39,Zydrine,18,,1857
40,Megacyte,18,,1857
41,Garbage,280,,20
42,Spiced Wine,280,,492
43,Antibiotics,280,,492
44,Enriched Uranium,1034,,1335
45,Frozen Plant Seeds,281,,492
178,Carbonized Lead S,83,,113
179,Nuclear S,83,,113
180,Proton S,83,,113
181,Depleted Uranium S,83,,113
182,Titanium Sabot S,83,,113
183,Fusion S,83,,113
184,Phased Plasma S,83,,113
185,EMP S,83,,113
186,Carbonized Lead M,83,,112
187,Nuclear M,83,,112
188,Proton M,83,,112
189,Depleted Uranium M,83,,112
190,Titanium Sabot M,83,,112
191,Fusion M,83,,112
192,Phased Plasma M,83,,112
193,EMP M,83,,112
194,Carbonized Lead L,83,,109
195,Nuclear L,83,,109
196,Proton L,83,,109
197,Depleted Uranium L,83,,109
198,Titanium Sabot L,83,,109
199,Fusion L,83,,109
200,Phased Plasma L,83,,109
201,EMP L,83,,109
202,Mjolnir Cruise Missile,386,,921
203,Scourge Cruise Missile,386,,921
204,Inferno Cruise Missile,386,,921
205,Nova Cruise Missile,386,,921
206,Nova Heavy Missile,385,,924
207,Mjolnir Heavy Missile,385,,924
208,Inferno Heavy Missile,385,,924
209,Scourge Heavy Missile,385,,924
210,Scourge Light Missile,384,,920
211,Inferno Light Missile,384,,920
212,Mjolnir Light Missile,384,,920
213,Nova Light Missile,384,,920
215,Iron Charge S,85,,107
216,Tungsten Charge S,85,,107
217,Iridium Charge S,85,,107
218,Lead Charge S,85,,107
219,Thorium Charge S,85,,107
220,Uranium Charge S,85,,107
221,Plutonium Charge S,85,,107
222,Antimatter Charge S,85,,107
223,Iron Charge M,85,,108
224,Tungsten Charge M,85,,108
225,Iridium Charge M,85,,108
226,Lead Charge M,85,,108
227,Thorium Charge M,85,,108
228,Uranium Charge M,85,,108
229,Plutonium Charge M,85,,108
230,Antimatter Charge M,85,,108
231,Iron Charge L,85,,106
232,Tungsten Charge L,85,,106
233,Iridium Charge L,85,,106
234,Lead Charge L,85,,106
235,Thorium Charge L,85,,106
236,Uranium Charge L,85,,106
237,Plutonium Charge L,85,,106
238,Antimatter Charge L,85,,106
239,Radio S,86,,102
240,Microwave S,86,,102
241,Infrared S,86,,102
242,Standard S,86,,102
243,Ultraviolet S,86,,102
244,Xray S,86,,102
245,Gamma S,86,,102
246,Multifrequency S,86,,102
247,Radio M,86,,103
248,Microwave M,86,,103
249,Infrared M,86,,103
250,Standard M,86,,103
251,Ultraviolet M,86,,103
252,Xray M,86,,103
253,Gamma M,86,,103
254,Multifrequency M,86,,103
255,Radio L,86,,105
256,Microwave L,86,,105
257,Infrared L,86,,105
258,Standard L,86,,105
259,Ultraviolet L,86,,105
260,Xray L,86,,105
261,Gamma L,86,,105
262,Multifrequency L,86,,105
263,Cap Booster 25,87,,139
264,Cap Booster 50,87,,139
266,Scourge Rocket,387,,922
267,Scourge Torpedo,89,,923
269,Mjolnir Auto-Targeting Light Missile I,394,4,914
377,Small Shield Extender I,38,,605
380,Small Shield Extender II,38,,605
393,Shield Recharger I,39,,126
394,Shield Recharger II,39,,126
399,Small Shield Booster I,40,,609
